CATEGORY,Name,Latitude,Longitude,Campbell 1291,Poll Tax Pop. 1377,Parliamentary Borough,
7,Hythe,51.071739,1.081937,,,X,
5,Ipswich,52.056736,1.148220,5300,1507,X,
3,King's Lynn,52.753629,0.384150,6900,3127,X,
7,Kingston upon Hull,53.745987,-0.348641,3800,,,
7,Lancaster,54.046575,-2.800740,,,,
6,Lanteglos,50.606048,-4.714794,,580,,
,Launceston,,,,,X,
4,Leicester,52.636878,-1.139759,5400,2101,X,
,Leominster,,,,,X,Hist Parl.
7,Lewes,50.873872,0.008780,,,X,
5,Lichfield,52.678591,-1.838738,2700,1024,,
3,Lincoln,53.230688,-0.540579,12300,3412,X,
7,Liskeard,50.449675,-4.466341,,461,X,
1,London,51.507351,-0.127758,60000,23314,X,
,Lostwithiel,,,,,X,Hist Parl.
6,Louth,53.363146,-0.002787,,684,,
,Ludgershall,,,,,X,Hist Parl.
5,Ludlow,52.361853,-2.720984,3300,1172,,
7,Lyme Regis,50.725156,-2.936639,,,X,
6,Maidstone,51.266979,0.521432,3000,844,,
6,Maldon,51.731805,0.671448,,542,X,
,Malmesbury,,,,,X,Hist Parl.
7,Marlborough,50.244170,-3.812080,,462,X,
7,Melcombe Regis,50.618820,-2.453690,,,X,
,Midhurst,,,,,X,Hist Parl.
7,New Romney,50.978550,0.933197,,,X,
,New Shoreham,,,,,X,Hist Parl.
5,Newark on Trent,53.068408,-0.822434,2700,1178,,
6,Newbury,51.401000,1.323000,2600,,,
4,Newcastle-on-Tyne,54.969998,-1.611016,9900,2647,X,
6,Newcastle-under-Lyme,53.013208,-2.227300,,550,X,
5,Northampton,52.240477,-0.902656,4200,1477,X,
3,Norwich,52.630886,1.297355,12000,3952,X,
5,Nottingham,52.954783,-1.158109,4200,1447,X,
,Old Sarum,,,,,X,Hist Parl.
4,Oxford,51.752021,-1.257726,9800,2357,X,
7,Pembroke,51.674043,-4.908637,,,,
7,Penrith,54.662688,-2.761000,2100,,,
6,Peterborough,52.566821,-0.245735,3000,850,,
5,Plymouth,50.386138,-4.051326,3800,1549,,
,Plympton Erle,,,,,X,Hist Parl.
5,Pontefract,53.691688,-1.308648,2400,1085,,
7,Portsmouth,50.816667,-1.083333,,,X,
7,Preston,53.763201,-2.703090,,,,
5,Reading,51.454265,-0.978130,3100,1050,X,
,Reigate,,,,,X,Hist Parl.
7,Richmond,51.461311,-0.303742,,,,
6,Rochester,51.388000,0.506721,,570,X,
6,Rye,50.949708,0.737260,,,X,
3,Salisbury,51.068785,-1.794472,7700,3226,X,
6,Sandwich,51.274017,1.337427,3000,,X,
5,Scarborough,54.283113,-0.399752,6500,1393,X,
7,Shaftesbury,51.004600,-2.198083,,,X,
7,Sheffield,53.381129,-1.470085,,,,
4,Shrewsbury,52.707303,-2.755327,5700,2082,X,
5,Southampton,50.909700,-1.404351,3500,1152,X,
5,Southwark,51.503528,-0.099555,,,X,
6,Spalding,52.781347,-0.162982,3000,893,,
7,St Albans,51.755000,0.366000,2000,,,
7,Stafford,52.806693,-2.120660,,461,X,
5,Stamford,52.651282,-0.480216,4500,1218,,
7,Stratford-on-Avon,52.191730,-1.708298,,,,
7,Sudbury,52.035865,0.724877,3400,,,
7,Swansea,51.621440,-3.943646,,,,
6,Taunton,51.015344,-3.106849,,539,X,
,Tavistock,,,,,X,Hist Parl.
6,Tenterden,51.065545,0.681755,,546,X,
7,Tewkesbury,51.992265,-2.157960,,,,
6,Thaxted,51.954186,0.341498,,668,,
,Totnes,,,,,X,Hist Parl.
7,Truro,50.263195,-5.051041,,,X,
6,Wainfleet,53.107900,0.237300,,678,,
7,Wallingford,51.597418,-1.133561,,,X,
7,Waltham Holy Cross,51.942832,0.457312,,480,,
,Wareham,,,,,X,Hist Parl.
6,Warwick,52.282434,-1.590982,,,X,
6,Wells,51.209347,-2.644598,2300,901,X,
7,Welshpool,52.660348,-3.146407,,,,
7,Westminster,51.495233,-0.143119,,280,,
7,Weymouth,50.614428,-2.457621,,,X,
7,Whitby,54.486335,-0.613347,,,,
6,Whittlesey,52.556262,-0.142896,,660,,
6,Wilton,51.079018,-1.862598,,639,,
6,Wilton,51.078254,-1.872904,,639,X,
7,Winchelesea (New),50.922294,0.711614,,,X,
5,Winchester,51.059771,-1.310142,6800,1526,X,
5,Worcester,52.193636,2.221575,3700,1557,X,
7,Wycombe,51.638511,-0.807860,,482,,
2,York,53.959965,-1.087298,22700,7248,X,
